轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,主队红牌,主队名称,主队名次,全场让球,半场让球,全场大小,半场大小
14,2017-12-03 19:00,0,雷加利斯,11,3-1,0-0,0,比利亚雷亚尔,6,平手,平手,2/2.5,0.5/1
14,2017-12-03 23:15,1,赫塔菲,12,1-0,0-0,0,巴伦西亚,2,平手,平手,2.5,1
14,2017-12-04 01:30,0,埃瓦尔,16,3-1,2-0,0,西班牙人,13,平手,平手,2/2.5,1
14,2017-12-04 03:45,0,拉斯帕尔马斯,19,1-0,1-0,1,皇家贝蒂斯,9,平手,平手,2.5,1
14,2017-12-05 04:00,0,赫罗纳,12,2-3,0-0,0,阿拉维斯,20,平/半,平/半,2/2.5,1
15,2017-12-09 04:00,0,阿拉维斯,19,2-0,1-0,0,拉斯帕尔马斯,18,平手,平手,2/2.5,1
15,2017-12-09 20:00,0,赫塔菲,8,0-0,0-0,0,埃瓦尔,13,平/半,平/半,2.5,1
15,2017-12-09 23:15,0,皇家马德里,4,5-0,5-0,0,塞维利亚,5,半/一,半/一,3.5/4,1.5
15,2017-12-10 01:30,0,拉科鲁尼亚,17,1-0,1-0,0,雷加利斯,7,平手,平手,2.5,1
15,2017-12-10 03:45,0,巴伦西亚,2,2-1,1-0,0,塞尔塔,10,平/半,平/半,2.5/3,1/1.5
15,2017-12-10 19:00,0,皇家社会,9,0-2,0-1,0,马拉加,20,半球,半球,2.5/3,1/1.5
15,2017-12-10 23:15,0,皇家贝蒂斯,11,0-1,0-1,0,马德里竞技,4,平/半,平/半,2/2.5,1
15,2017-12-11 01:30,0,莱万特,14,1-2,0-1,0,毕尔巴鄂竞技,17,平手,平手,2/2.5,1
15,2017-12-11 03:45,1,比利亚雷亚尔,6,0-2,0-0,0,巴塞罗那,1,半球,半球,3,1/1.5
15,2017-12-12 04:00,0,西班牙人,16,0-1,0-1,0,赫罗纳,14,平/半,平/半,2.5,1
16,2017-12-16 04:00,0,塞维利亚,5,0-0,0-0,0,莱万特,15,半/一,半/一,3,1/1.5
16,2017-12-16 23:15,0,毕尔巴鄂竞技,14,0-0,0-0,0,皇家社会,10,平/半,平/半,2/2.5,1
16,2017-12-17 01:30,0,埃瓦尔,13,2-1,0-0,0,巴伦西亚,2,平/半,平/半,2.5,1
16,2017-12-17 03:45,0,马德里竞技,3,1-0,0-0,0,阿拉维斯,18,半/一,半/一,2.5/3,1/1.5
16,2017-12-17 19:00,0,赫罗纳,11,1-0,1-0,0,赫塔菲,8,平/半,平/半,2/2.5,1
16,2017-12-17 23:15,0,塞尔塔,12,0-1,0-1,0,比利亚雷亚尔,6,平手,平手,2.5,1
16,2017-12-18 01:30,0,拉斯帕尔马斯,20,2-2,0-2,0,西班牙人,16,平手,平手,2.5,1
16,2017-12-18 03:45,0,巴塞罗那,1,4-0,2-0,0,拉科鲁尼亚,17,一/球半,一/球半,4,1.5/2
16,2017-12-19 04:00,1,马拉加,19,0-2,0-1,0,皇家贝蒂斯,14,平手,平手,2.5,1
16,2018-02-22 01:45,0,雷加利斯,13,1-3,1-2,0,皇家马德里,4,半/一,半/一,3,1/1.5
17,2017-12-20 04:30,0,莱万特,15,0-0,0-0,1,雷加利斯,12,平手,平手,2,0.5/1
17,2017-12-21 02:30,0,赫塔菲,11,2-0,2-0,0,拉斯帕尔马斯,20,平/半,平/半,2.5,1
17,2017-12-21 04:30,0,皇家社会,12,3-1,1-1,0,塞维利亚,5,平手,平手,2.5/3,1/1.5
17,2017-12-22 02:30,0,埃瓦尔,12,4-1,2-1,0,赫罗纳,9,平/半,平/半,2.5,1
17,2017-12-22 04:30,0,阿拉维斯,18,1-0,0-0,0,马拉加,19,平手,平手,2/2.5,0.5/1
17,2017-12-23 02:30,1,皇家贝蒂斯,12,0-2,0-1,0,毕尔巴鄂竞技,14,平手,平手,2.5/3,1
17,2017-12-23 04:30,0,西班牙人,16,1-0,0-0,0,马德里竞技,2,平/半,平/半,2/2.5,1
17,2017-12-23 20:00,1,皇家马德里,4,0-3,0-0,0,巴塞罗那,1,平/半,平/半,3/3.5,1.5
17,2017-12-23 23:15,1,巴伦西亚,3,0-1,0-1,1,比利亚雷亚尔,6,平/半,平/半,2.5/3,1/1.5
17,2017-12-24 01:30,0,拉科鲁尼亚,18,1-3,0-2,0,塞尔塔,15,平手,平手,2.5,1
18,2018-01-06 20:00,1,马德里竞技,2,2-0,1-0,0,赫塔菲,8,半球,半球,2.5,1
18,2018-01-06 23:15,0,巴伦西亚,3,2-1,1-1,0,赫罗纳,10,平/半,平/半,2.5/3,1/1.5
18,2018-01-07 01:30,0,拉斯帕尔马斯,20,1-2,1-0,0,埃瓦尔,7,平/半,平/半,2.5/3,1
18,2018-01-07 03:45,0,塞维利亚,5,3-5,2-2,0,皇家贝蒂斯,14,半球,半球,2.5/3,1/1.5
18,2018-01-07 19:00,0,雷加利斯,14,1-0,0-0,0,皇家社会,10,平手,平手,2.5,1
18,2018-01-07 23:15,0,巴塞罗那,1,3-0,2-0,0,莱万特,16,一/球半,一/球半,4,1.5/2
18,2018-01-08 01:30,0,毕尔巴鄂竞技,13,2-0,1-0,0,阿拉维斯,17,平/半,平/半,2/2.5,1
18,2018-01-08 01:30,0,比利亚雷亚尔,6,1-1,1-0,0,拉科鲁尼亚,18,半球,半球,2.5,1
18,2018-01-08 03:45,0,塞尔塔,12,2-2,1-2,0,皇家马德里,4,半球,半球,3/3.5,1.5
18,2018-01-09 04:00,0,马拉加,19,0-1,0-1,0,西班牙人,15,平手,平手,2/2.5,1
19,2018-01-13 04:00,0,赫塔菲,11,1-0,0-0,0,马拉加,19,平/半,平/半,2/2.5,1
19,2018-01-13 20:00,0,赫罗纳,13,6-0,1-0,0,拉斯帕尔马斯,20,平/半,平/半,2.5,1
19,2018-01-13 23:15,0,皇家马德里,4,0-1,0-0,0,比利亚雷亚尔,6,半/一,半/一,3.5/4,1.5
19,2018-01-14 01:30,0,埃瓦尔,7,0-1,0-1,0,马德里竞技,2,平/半,平/半,2/2.5,0.5/1
19,2018-01-14 03:45,0,拉科鲁尼亚,17,1-2,0-1,0,巴伦西亚,3,平/半,平/半,2.5/3,1
19,2018-01-14 19:00,0,莱万特,16,0-1,0-1,0,塞尔塔,15,平手,平手,2.5,1
19,2018-01-14 23:15,1,阿拉维斯,18,1-0,0-0,0,塞维利亚,6,平/半,平/半,2.5,1
19,2018-01-15 01:30,0,西班牙人,15,1-1,1-1,0,毕尔巴鄂竞技,11,平手,平手,2/2.5,1
19,2018-01-15 03:45,0,皇家社会,14,2-4,2-1,0,巴塞罗那,1,半球,半球,3/3.5,1/1.5
19,2018-01-16 04:00,0,皇家贝蒂斯,13,3-2,2-1,0,雷加利斯,12,平手,平手,2/2.5,1
20,2018-01-20 04:00,0,赫塔菲,9,2-2,1-1,0,毕尔巴鄂竞技,12,平手,平手,2/2.5,1
20,2018-01-20 20:00,0,西班牙人,14,0-3,0-2,0,塞维利亚,6,平手,平手,2.5,1
20,2018-01-20 23:15,0,马德里竞技,2,1-1,1-0,0,赫罗纳,11,半球,半球,2.5,1
20,2018-01-21 01:30,0,比利亚雷亚尔,5,2-1,1-0,0,莱万特,16,半球,半球,2.5/3,1
20,2018-01-21 03:45,0,拉斯帕尔马斯,20,2-1,1-1,2,巴伦西亚,3,平/半,平/半,2.5/3,1/1.5
20,2018-01-21 19:00,1,阿拉维斯,17,2-2,0-0,0,雷加利斯,13,平手,平手,2,0.5/1
20,2018-01-21 23:15,0,皇家马德里,5,7-1,2-1,0,拉科鲁尼亚,18,一/球半,一/球半,4,1.5/2
20,2018-01-22 01:30,0,皇家社会,15,1-2,1-1,0,塞尔塔,12,平/半,平/半,2.5/3,1/1.5
20,2018-01-22 03:45,0,皇家贝蒂斯,9,0-5,0-0,0,巴塞罗那,1,半/一,半/一,3/3.5,1.5
20,2018-01-23 04:00,0,埃瓦尔,10,1-1,0-1,1,马拉加,20,平/半,平/半,2/2.5,1
21,2018-01-27 04:00,0,毕尔巴鄂竞技,12,1-1,0-0,0,埃瓦尔,8,平/半,平/半,2.5,1
21,2018-01-27 20:00,1,拉科鲁尼亚,18,2-2,2-0,0,莱万特,17,平/半,平/半,2/2.5,1
21,2018-01-27 23:15,0,巴伦西亚,3,1-4,0-2,0,皇家马德里,4,平/半,平/半,3/3.5,1/1.5
21,2018-01-28 01:30,1,马拉加,20,0-0,0-0,0,赫罗纳,11,平手,平手,2/2.5,1
21,2018-01-28 03:45,0,比利亚雷亚尔,5,4-2,4-1,0,皇家社会,15,平/半,平/半,2.5/3,1
21,2018-01-28 19:00,0,雷加利斯,13,3-2,1-0,0,西班牙人,14,平手,平手,2,0.5/1
21,2018-01-28 23:15,0,马德里竞技,2,3-0,0-0,0,拉斯帕尔马斯,19,半/一,半/一,3,1/1.5
21,2018-01-29 01:30,0,塞维利亚,6,1-1,0-0,0,赫塔菲,10,平/半,平/半,2.5/3,1
21,2018-01-29 03:45,0,巴塞罗那,1,2-1,0-1,0,阿拉维斯,17,一/球半,一/球半,4/4.5,1.5/2
21,2018-01-30 04:00,0,塞尔塔,8,3-2,1-0,0,皇家贝蒂斯,13,平/半,平/半,2.5/3,1/1.5
22,2018-02-03 04:00,0,皇家社会,15,5-0,1-0,0,拉科鲁尼亚,18,平/半,平/半,2.5/3,1/1.5
22,2018-02-03 20:00,0,埃瓦尔,8,5-1,3-1,0,塞维利亚,6,平手,平手,2.5,1
22,2018-02-03 23:15,0,皇家贝蒂斯,13,2-1,1-0,1,比利亚雷亚尔,5,平手,平手,2.5,1
22,2018-02-04 01:30,0,阿拉维斯,17,2-1,2-0,0,塞尔塔,7,平手,平手,2/2.5,1
22,2018-02-04 03:45,0,莱万特,16,2-2,1-1,0,皇家马德里,4,半/一,半/一,3/3.5,1.5
22,2018-02-04 19:00,0,赫塔菲,10,0-0,0-0,0,雷加利斯,12,平/半,平/半,2/2.5,0.5/1
