赛季,球员ID,球员,球队ID,出场,替补,出场总时长,运动战进球,点球,总进球数,射门,射正,被侵犯次数,最佳球员次数,评分
2017-2018,124701,卢卡斯.博耶,114,11,9,259,0,0,0,6,1,1,0,67.58
2017-2018,124863,格拉德.甘保,992,22,6,1430,1,0,1,17,6,6,0,140.08
2017-2018,124943,E.乌奴,107,30,12,1717,6,0,6,44,23,35,1,195.76
2017-2018,124972,D.奥尔塔,114,1,1,4,0,0,0,0,0,0,0,6.01
2017-2018,125060,安德烈亚斯·佩雷拉,91,23,11,1105,1,0,1,14,6,20,1,150.17
2017-2018,125072,高美思,107,3,1,233,0,0,0,0,0,0,0,19.02
2017-2018,125561,朗列特,86,35,2,3001,3,0,3,14,5,22,1,240.39
2017-2018,126953,马克森莫域,91,14,8,579,0,0,0,7,2,2,0,91.03
2017-2018,127137,马丁.曼多瓦尼,992,14,4,1018,1,0,1,5,1,16,1,93.13
2017-2018,127155,G.埃斯卡兰特,131,28,12,1560,1,0,1,24,6,16,0,184.31
2017-2018,127221,罗克,86,7,3,342,0,0,0,1,0,7,0,45.26
2017-2018,128540,艾路斯度,106,19,1,1598,3,0,3,11,5,10,2,134.84
2017-2018,128575,哈维尔.埃拉索,992,33,2,2540,4,0,4,32,13,24,0,213.46
2017-2018,128673,I.威廉士,92,38,7,2851,7,0,7,74,26,41,0,257.95
2017-2018,128950,M.阿拉姆巴里,98,27,1,2200,1,0,1,21,3,42,0,177.82
2017-2018,129002,L.苏亚雷斯,107,1,1,28,0,0,0,1,0,1,0,6.12
2017-2018,129054,凯文索尼,982,2,2,17,0,0,0,0,0,0,0,12.11
2017-2018,129086,大卫.西蒙,991,11,5,718,0,0,0,3,1,11,0,72.51
2017-2018,129147,博斯图,98,1,0,90,0,0,0,0,0,0,0,6.5
2017-2018,129158,达格马,98,36,0,3240,1,0,1,11,2,26,1,255.28
2017-2018,129330,A.托马斯,102,4,0,360,0,0,0,0,0,0,0,24.7
2017-2018,129382,J.瓦雷乔,82,7,0,630,0,0,0,0,0,2,0,48.37
2017-2018,130073,伊凡罗德里格兹,102,1,1,19,0,0,0,0,0,0,0,6.28
2017-2018,130583,埃尼斯巴尔齐,103,26,10,1579,9,0,9,37,13,24,0,176.41
2017-2018,131791,阿方索,137,33,6,2441,3,0,3,42,13,22,2,221.59
2017-2018,131824,A.可莱纳,982,34,1,2854,1,0,1,44,8,38,7,245.07
2017-2018,131846,马约拉尔,82,12,9,336,3,0,3,15,11,5,0,79.65
2017-2018,132551,塞拉诺,982,18,11,841,1,0,1,12,3,5,1,117.74
2017-2018,132802,塔纳,991,24,8,1552,1,0,1,14,6,36,1,155.07
2017-2018,133416,G.里维拉,137,19,2,1528,0,0,0,4,1,4,0,129.02
2017-2018,133532,阿克塞尔沃纳,109,1,0,90,0,0,0,0,0,0,0,7.06
2017-2018,134111,米克尔贝斯加,92,12,1,809,1,0,1,7,4,11,1,79.28
2017-2018,135238,伊尼戈,92,32,10,2103,0,0,0,17,5,12,0,212.73
2017-2018,135239,萨宾.梅里诺,92,11,7,370,0,0,0,8,3,6,0,68.25
2017-2018,135858,A.莫雷诺,96,9,1,632,0,0,0,14,2,18,0,56.96
2017-2018,136139,巴勃罗马费奥,982,33,1,2673,0,0,0,25,7,35,0,228.84
2017-2018,136177,赫莫索,100,22,0,1980,1,0,1,10,4,15,1,145.05
2017-2018,136179,耶雷,92,8,1,675,0,0,0,1,0,11,0,53.02
2017-2018,137297,托雷斯丹尼尔,137,16,2,1217,0,0,0,4,2,14,0,103.12
2017-2018,137380,布尔吉,137,23,11,1034,1,0,1,15,4,19,0,148.07
2017-2018,138465,弗纳尔斯,107,35,5,2623,3,0,3,51,14,31,3,241.08
2017-2018,138665,大卫.萨戈利奥,103,27,5,1793,1,0,1,33,10,28,1,178.3
2017-2018,138708,M.高美斯,114,36,1,3078,17,0,17,83,38,91,3,250.17
2017-2018,138885,米克尔奥耶查,106,35,4,2782,12,0,12,64,32,46,2,244.1
2017-2018,139091,登贝莱,84,17,5,960,3,0,3,21,10,18,2,121.17
2017-2018,139192,米高奥伦加,982,14,10,426,3,0,3,17,6,2,1,90.37
2017-2018,139473,N.吉尔,991,20,10,957,0,0,0,9,3,33,0,126
2017-2018,139545,伊度保,991,14,0,1215,0,0,0,20,3,45,1,96.42
2017-2018,139679,托雷斯,107,2,2,50,0,0,0,0,0,0,0,12.22
2017-2018,139686,瓦伦丁,93,3,1,158,0,0,0,2,0,1,0,18.91
2017-2018,139933,托尼·拉托,91,15,6,796,0,0,0,1,0,8,0,98.4
2017-2018,139935,菲比安,96,34,4,2662,3,0,3,40,17,35,3,243.15
2017-2018,140414,H.托莱多,991,15,9,617,0,0,0,3,1,10,0,94.85
2017-2018,140540,埃斯特班.洛伦,102,6,1,365,0,0,0,1,0,1,0,35.84
2017-2018,140601,特奥,82,13,3,962,0,0,0,2,2,15,0,90.48
2017-2018,141295,阿姆拉巴特,992,30,13,1645,2,0,2,36,18,36,0,190.78
2017-2018,141298,乔恩·包蒂斯塔,106,10,9,172,1,0,1,6,2,1,0,61.51
2017-2018,141339,E.莫尔,114,21,17,615,1,0,1,11,4,21,0,136.29
2017-2018,142006,C.巴拉甘,91,32,5,2346,1,0,1,45,17,42,0,214.57
2017-2018,142516,迪希奧,98,37,1,2884,3,0,3,43,14,62,1,245.81
2017-2018,142848,伊戈尔·祖比迪亚,106,24,8,1598,1,0,1,20,3,15,1,158.4
2017-2018,143534,雷斯波朗科,102,18,1,1432,1,0,1,12,3,3,0,116.8
2017-2018,143727,阿尔瓦罗·奥德里奥佐拉,106,35,3,2918,0,0,0,8,5,31,0,229.12
2017-2018,144336,安东尼,92,1,0,90,0,0,0,2,0,1,0,6.02
2017-2018,145102,哈基姆,82,9,1,757,2,0,2,4,3,6,0,66.45
2017-2018,145183,卢卡齐达内,82,1,0,90,0,0,0,0,0,0,0,6.17
2017-2018,145960,罗德里戈·埃尔南德斯,107,37,1,3228,1,0,1,32,10,36,3,267.07
2017-2018,145961,赫克托·埃尔南德斯,137,1,1,15,0,0,0,0,0,0,0,6.13
2017-2018,145978,A·希门尼斯,98,12,7,520,1,0,1,9,4,25,0,76.76
2017-2018,146176,伊万·阿莱霍,131,20,7,1065,1,0,1,13,3,43,0,132.96
2017-2018,146205,马克.罗,100,8,6,259,0,0,0,4,0,0,0,51.47
2017-2018,146749,N.约瑟夫,102,25,9,1597,4,0,4,46,12,33,0,162.47
2017-2018,146817,科克,103,1,0,90,0,0,0,0,0,0,0,6.44
2017-2018,147932,A.迭格斯,137,6,0,436,0,0,0,3,0,1,0,38.53
2017-2018,148965,波诺,982,30,0,2656,0,0,0,0,0,1,1,199.54
2017-2018,149997,梅内多,100,18,12,680,0,0,0,8,2,21,0,112.73
2017-2018,150308,塞尔吉奥.阿里,992,1,1,22,0,0,0,0,0,0,0,6.45
2017-2018,150368,达里奥·波韦达,107,1,1,1,0,0,0,0,0,0,0,6.04
2017-2018,150627,I.萨利尔奎,131,3,3,37,0,0,0,0,0,0,0,18.23
2017-2018,150648,亚历山大·波特,992,1,1,45,0,0,0,0,0,1,0,6.29
2017-2018,150668,马科斯纳瓦罗,100,19,9,1103,1,0,1,20,5,8,0,122.47
2017-2018,150726,贝尼托拉米雷斯,991,4,3,164,0,0,0,1,1,1,0,25.36
2017-2018,150728,埃里克埃雷拉,991,7,5,282,1,0,1,6,1,3,0,44.07
2017-2018,150747,马丁阿古拉甘,137,21,1,1829,0,0,0,3,1,18,1,146.36
2017-2018,151556,拉巴,107,21,7,1158,2,0,2,18,5,27,1,139.46
2017-2018,152050,乔恩盖特,106,4,4,50,0,0,0,0,0,1,0,24.23
2017-2018,152380,路易斯,982,15,14,295,0,0,0,10,5,8,0,92.39
2017-2018,152505,E.艾普斯托,93,3,3,94,0,0,0,0,0,1,0,17.94
2017-2018,152565,N.维达尔,91,7,2,446,1,0,1,3,2,4,0,48.24
2017-2018,153911,费德里科.瓦弗代,93,24,12,1220,0,0,0,18,4,3,0,151.48
2017-2018,157272,罗伯特墩,103,25,6,1904,0,0,0,8,1,6,0,162.12
2017-2018,157284,伊阿古科尔多瓦,92,29,11,1503,1,0,1,18,4,35,1,192.54
2017-2018,157285,努涅斯,92,33,0,2942,1,0,1,22,2,23,1,229
2017-2018,157307,佛浪,96,2,1,84,0,0,0,0,0,0,0,6.17
2017-2018,157380,楚城嚓,107,3,2,72,0,0,0,3,0,2,0,18.49
2017-2018,157652,布雷斯门德斯,114,19,7,956,1,0,1,22,9,15,0,122.15
2017-2018,158141,E.德米罗维奇,137,3,1,181,1,0,1,6,3,3,0,19.83
2017-2018,159404,弗兰西斯,96,12,3,908,1,0,1,4,1,27,0,82.96
2017-2018,159771,格罗萨贝尔,106,2,1,76,0,0,0,0,0,1,0,12.49
2017-2018,160030,格雷西亚,96,2,2,21,0,0,0,1,0,0,0,11.91
2017-2018,160296,拉米罗·格拉,107,4,4,67,0,0,0,0,0,2,0,24.05
2017-2018,160411,穆尔沙克,103,6,1,423,0,0,0,3,2,3,0,39.33
2017-2018,160749,乌斯,93,2,0,180,0,0,0,0,0,1,1,14.24
2017-2018,160940,C.卡尔德隆,98,1,1,3,0,0,0,0,0,0,0,6.2
2017-2018,160941,M.奥利维拉,98,2,1,101,1,0,1,1,1,0,0,13.75
2017-2018,160965,亚历杭德罗罗夫莱斯,102,1,0,90,0,0,0,0,0,1,0,6.49
2017-2018,161239,亚伦马田,100,22,1,1915,0,0,0,3,2,12,0,150.09
2017-2018,161482,埃里克,103,14,2,1039,0,0,0,2,2,12,0,91.84
2017-2018,161483,莫克塔尔瓦内,103,2,1,82,0,0,0,0,0,1,0,12.39
2017-2018,161655,冈萨雷斯,107,2,2,16,0,0,0,1,0,0,0,12.05
2017-2018,161671,A.鲁伊巴尔,96,2,2,7,0,0,0,0,0,0,0,11.88
2017-2018,161804,弗兰托雷斯,91,12,10,273,0,0,0,2,1,5,0,75.04
2017-2018,162053,A.施维拉,137,1,0,63,0,0,0,0,0,0,0,6.71
2017-2018,162054,A.埃斯特维,93,1,0,90,0,0,0,0,0,0,0,5.3
2017-2018,162100,M.诺多科伊,98,6,6,62,0,0,0,0,0,3,0,36.72
2017-2018,162152,力坡阿达梅斯,96,14,0,1190,2,0,2,13,4,16,0,99.19
2017-2018,162382,杰米. 塞拉利昂,992,2,2,26,0,0,0,0,0,0,0,12.31
2017-2018,162435,加西亚. 洛伦佐,96,15,3,1089,7,0,7,29,14,28,2,103.51
2017-2018,163249,维克多-洛佩斯,137,1,0,61,0,0,0,1,0,0,0,7.27
2017-2018,163471,若泽.劳拉,86,1,1,9,0,0,0,0,0,0,0,6.16
2017-2018,164384,C.阿尔贝,109,1,0,64,0,0,0,1,0,1,0,6.8
2017-2018,164386,A.墨雅,109,1,1,2,0,0,0,0,0,0,0,6.04
2017-2018,164404,乔.坎普尔,96,5,4,120,1,0,1,4,2,9,0,32.56
2017-2018,164462,维迪奇.罗嘉,114,5,4,161,0,0,0,1,1,3,0,31.93
2017-2018,164463,威廉若泽,106,8,1,651,1,1,2,16,5,8,0,54.85
2017-2018,164464,内托,91,5,0,450,0,0,0,0,0,0,1,33.25
2017-2018,164569,鲁基克,103,5,2,292,0,0,0,1,1,8,0,33.46
2017-2018,164666,阿里怀特,103,1,0,78,0,0,0,0,0,0,0,6.48
2017-2018,165008,萨内,109,1,1,64,0,0,0,1,1,1,0,6.15
2017-2018,165162,阿尔伯托雷东多,98,1,0,90,0,0,0,0,0,0,0,6.81
2017-2018,165172,米格尔天使鲁比奥,98,1,1,28,0,0,0,0,0,1,0,6.35
2017-2018,165302,穆贾迪斯萨迪克,93,2,1,105,0,0,0,0,0,0,0,12.58
2017-2018,165457,克鲁兹.胡安,102,1,1,6,0,0,0,0,0,0,0,6.45
