赛季,球员ID,球员,球队ID,出场,替补,出场总时长,运动战进球,点球,总进球数,射门,射正,被侵犯次数,最佳球员次数,评分
2015-2016,84832,萨拉比亚,86,31,1,2535,7,0,7,61,32,59,3,220.38
2015-2016,87683,法尔,98,38,7,2842,5,0,5,45,19,34,1,258.93
2015-2016,87914,卢纳,103,15,3,1004,0,0,0,2,1,7,0,98.21
2015-2016,87960,F.卡斯特罗,131,28,13,1445,2,0,2,16,5,20,0,182.89
2015-2016,88524,卡西利亚,82,4,0,360,0,0,0,0,0,0,0,28.01
2015-2016,89577,路易辛霍,93,20,9,1113,0,0,0,8,1,32,0,130.74
2015-2016,89714,埃切塔,92,30,2,2485,0,0,0,10,1,5,0,205.63
2015-2016,89761,帕尔多,106,28,9,1786,0,0,0,34,7,8,1,191.28
2015-2016,89780,伊尼戈,106,30,0,2700,1,0,1,16,4,26,1,208.22
2015-2016,89797,查尔斯,131,35,2,3007,11,1,12,83,42,44,5,245.65
2015-2016,89818,米克尔.里科,92,17,9,696,1,0,1,13,5,8,0,110.7
2015-2016,89854,D.占美尼斯,96,3,1,207,0,0,0,0,0,0,0,18.88
2015-2016,89856,加里多,93,31,0,2759,2,0,2,11,4,31,2,212.57
2015-2016,89857,R.迪圖,992,29,0,2564,1,0,1,12,1,36,1,195.6
2015-2016,90277,韦拉,991,36,0,3121,6,4,10,85,36,84,5,258.11
2015-2016,90339,拉菲尼亚,84,6,3,281,1,0,1,2,2,5,0,40.41
2015-2016,90426,切里舍夫,107,9,3,515,3,0,3,13,4,12,0,62.37
2015-2016,90528,高美斯,114,21,2,1715,0,0,0,2,0,3,1,142.81
2015-2016,90559,霍尔达,107,18,1,1538,1,0,1,4,2,19,2,126.91
2015-2016,90684,塞尔吉,131,23,7,1521,6,0,6,26,12,30,2,156.64
2015-2016,90690,比达尔,84,9,3,543,0,0,0,1,0,4,0,60.89
2015-2016,90834,A.瓦斯克斯,100,34,10,1991,4,1,5,47,17,31,2,216.88
2015-2016,91156,勒内,131,31,6,2335,0,0,0,9,1,33,0,207.1
2015-2016,91759,卡塞米罗,82,23,6,1527,1,0,1,20,3,36,1,167.55
2015-2016,92369,马洛,114,33,0,2943,1,0,1,8,4,15,1,231.16
2015-2016,92396,J.戈麦斯,991,21,5,1461,1,0,1,7,3,41,1,142.01
2015-2016,92455,阿尔比拉,131,7,0,630,0,0,0,7,2,7,0,48.93
2015-2016,94832,D.苏亚雷斯,84,33,8,2371,4,0,4,37,17,41,4,228.84
2015-2016,95054,维托洛,991,28,5,2082,2,0,2,25,12,56,0,191.25
2015-2016,95378,巴尔博萨,107,2,0,180,0,0,0,0,0,0,0,11.96
2015-2016,96073,R.马尔蒂,103,16,9,647,0,0,0,22,10,9,0,98.89
2015-2016,96219,德尔佩斯,103,13,3,957,0,0,0,6,0,6,0,86.27
2015-2016,96536,特里格罗斯,107,31,7,2118,2,0,2,28,7,21,1,206.6
2015-2016,97209,萨乌尔,109,31,5,2349,4,0,4,46,16,26,3,228.48
2015-2016,99591,奥布拉克,109,38,0,3420,0,0,0,0,0,3,1,258.98
2015-2016,100640,布埃桑,92,2,1,174,0,0,0,0,0,0,0,11.58
2015-2016,101261,卡瓦哈尔,82,22,3,1638,0,0,0,8,0,28,0,158.87
2015-2016,101428,Z.费迪拿,96,28,0,2520,1,0,1,13,3,12,1,190.42
2015-2016,102298,波尔蒂略,98,18,7,986,0,0,0,5,0,11,0,113.84
2015-2016,102405,雷西奥,102,33,1,2750,0,0,0,37,13,37,0,227.64
2015-2016,102835,鲁本.杜阿尔特,137,22,1,1864,0,0,0,11,2,20,0,146.32
2015-2016,103005,莱昂纳多,100,20,13,862,1,0,1,20,6,31,0,127.09
2015-2016,103121,胡安弗兰,93,34,5,2592,1,0,1,19,2,26,2,230.97
2015-2016,103410,卡拉斯科,109,29,13,1498,4,0,4,54,17,24,1,200.83
2015-2016,103608,比耶托,109,19,7,964,1,0,1,25,6,22,0,123.07
2015-2016,103673,奥托,114,36,2,3002,1,0,1,14,4,21,2,243.94
2015-2016,103738,M.古里路,992,23,10,1090,2,0,2,23,9,12,0,148.2
2015-2016,103845,多斯桑托斯,992,30,1,2592,0,0,0,13,6,15,0,202.61
2015-2016,104034,卡斯特拉诺,991,1,0,90,0,0,0,1,0,3,0,6.96
2015-2016,104035,卡斯特拉诺,991,27,2,2247,0,0,0,8,2,44,0,189.61
2015-2016,104037,埃尔南,991,18,7,927,1,0,1,9,4,15,1,117.85
2015-2016,104042,利佐安,991,8,1,707,0,0,0,0,0,2,0,57.09
2015-2016,104055,卢卡斯,82,24,14,1227,4,0,4,23,13,35,0,173.49
2015-2016,105141,斯科尔斯拉多亚,114,30,15,1450,0,0,0,5,1,16,0,194.78
2015-2016,105402,加亚,91,20,5,1445,0,0,0,2,1,17,0,134.25
2015-2016,105750,戈麦斯,84,30,3,2389,3,0,3,37,14,40,0,189.69
2015-2016,107726,哈里洛维奇,991,36,12,2347,3,0,3,58,15,46,1,239.89
2015-2016,109244,拉波尔特,92,26,1,2255,3,0,3,19,6,26,1,179.66
2015-2016,110043,巴拉古尔诺,100,32,13,1917,6,1,7,48,20,21,1,206.44
2015-2016,110071,塞尔吉奥,86,34,0,3060,0,0,0,0,0,5,1,232.49
2015-2016,110296,S.米拿,91,25,8,1520,4,0,4,20,10,47,0,162.59
2015-2016,110479,扎卡里亚,93,15,11,533,1,0,1,12,2,20,0,98.67
2015-2016,111527,布兰科,114,8,0,716,0,0,0,0,0,2,0,49.73
2015-2016,111847,格斯特,92,3,1,186,0,0,0,4,1,2,0,20.22
2015-2016,112357,鲁本.维佐,91,14,4,1082,0,0,0,3,0,8,0,98.58
2015-2016,112363,A.科雷亚,109,25,17,920,5,0,5,30,13,18,1,165.87
2015-2016,114953,F.卡塔比亚,93,26,11,1355,3,0,3,51,18,53,2,179.52
2015-2016,114983,罗伯特,91,18,11,693,0,0,0,10,2,24,0,111.65
2015-2016,115066,卡帕,131,36,2,3120,2,0,2,16,5,30,2,250.84
2015-2016,115206,桑纳比亚,96,29,2,2271,10,1,11,51,19,35,3,195.2
2015-2016,115224,吉梅内斯,109,27,0,2430,1,0,1,12,4,10,1,193.85
2015-2016,115410,佩雷斯,93,36,1,3141,16,1,17,100,50,48,2,255.35
2015-2016,115411,S.桑切斯,103,16,9,759,2,0,2,10,3,12,0,104.23
2015-2016,115412,S.丹格,100,1,0,85,0,0,0,3,1,1,0,6.89
2015-2016,115498,J.桑切斯,114,27,3,2063,10,0,10,47,23,22,1,181.41
2015-2016,115915,比加斯,991,27,1,2353,3,0,3,14,5,23,2,194.74
2015-2016,116001,L.靴南迪斯,102,36,0,3240,0,0,0,9,3,18,0,246.13
2015-2016,116147,鲁尔艾宾图萨,93,29,2,2553,2,0,2,16,7,12,2,201.29
2015-2016,116152,摩拉里斯,103,35,4,2676,7,0,7,71,24,37,4,241.47
2015-2016,116208,B.卡布雷拉,98,32,0,2807,0,0,0,17,4,16,0,225.21
2015-2016,116557,利奥斯,106,33,0,2925,2,0,2,14,6,33,0,228.42
2015-2016,116572,蒙塔纳,991,1,1,29,0,0,0,0,0,0,0,6.49
2015-2016,117764,多梅内克桑切斯,91,17,0,1530,0,0,0,0,0,5,1,120.73
2015-2016,117850,卢卡斯.埃尔南德斯,109,10,2,834,0,0,0,0,0,11,0,70.6
2015-2016,118871,卡马拉沙,96,33,12,2118,2,0,2,28,8,26,0,212.75
2015-2016,119080,德马科斯,92,34,1,2886,1,0,1,13,4,19,1,237.73
2015-2016,119133,雷拉,96,20,9,999,0,0,0,10,3,15,0,129.04
2015-2016,119159,F.瑞卡,102,8,1,641,1,0,1,2,1,7,1,57.06
2015-2016,119231,萨尔杜亚,992,12,2,916,0,0,0,2,0,21,1,82.67
2015-2016,119326,卡洛斯,137,14,0,1225,1,0,1,4,3,7,0,90.27
2015-2016,119357,杰弗森里尔玛,103,32,1,2685,1,0,1,36,3,27,0,214.85
2015-2016,119535,彭拿兰达,102,23,2,1678,5,0,5,22,8,37,0,152.81
2015-2016,119973,阿森西奥,82,34,1,2842,4,0,4,60,22,57,4,238.63
2015-2016,120714,保罗·洛佩斯,100,36,1,3194,0,0,0,0,0,7,1,232.19
2015-2016,121118,哈达迪,84,15,7,835,3,0,3,17,6,12,0,101.26
2015-2016,121854,梅内德斯,102,36,3,2874,5,0,5,55,20,55,2,245.41
2015-2016,122038,梅德兰,137,20,4,1487,2,0,2,30,12,23,0,130.27
2015-2016,123884,塞巴洛斯,82,33,11,2130,0,0,0,16,3,75,1,220.98
2015-2016,124016,G.鲁利,106,36,0,3240,0,0,0,0,0,5,3,239.77
2015-2016,124247,D.卡利路,131,35,0,3057,0,0,0,21,5,44,0,238.21
2015-2016,124363,A.东尼奥,103,27,1,2387,0,0,0,12,4,40,0,182.66
2015-2016,124449,卡斯蒂里奥,107,28,9,1696,1,0,1,24,6,44,1,185.96
2015-2016,124473,托马斯·帕尔特伊,109,11,8,388,2,0,2,7,2,6,0,73.43
2015-2016,124476,莫雷诺,131,9,4,623,1,0,1,9,4,3,0,60.84
2015-2016,124609,阿哥斯塔,102,28,10,1619,4,0,4,32,11,47,1,185.05
2015-2016,124863,格拉德.甘保,992,2,2,42,0,0,0,0,0,0,0,12.35
2015-2016,125072,高美思,107,11,1,925,0,0,0,1,1,4,0,78.77
2015-2016,127155,G.埃斯卡兰特,131,34,2,2829,4,0,4,23,5,29,2,237.2
2015-2016,128540,艾路斯度,106,31,1,2600,1,0,1,16,5,25,0,215.43
2015-2016,128575,哈维尔.埃拉索,992,16,8,778,2,0,2,12,5,15,0,99.29
