赛季,轮次,时间,主队红牌数,主队名称,主队ID,主队上轮名次,比分,半场比分,客队红牌数,客队名称,客队ID,客队上轮名次
2003-2004,19,2004-01-11 23:59,0,奥萨苏纳,94,,1-1,0-0,0,塞维利亚,86,
2003-2004,19,2004-01-11 23:59,0,比利亚雷亚尔,107,,3-1,1-0,0,瓦拉多利德,123,
2003-2004,19,2004-01-11 23:59,0,穆尔西亚,117,,0-1,0-1,0,西班牙人,100,
2003-2004,19,2004-01-12 02:00,0,巴塞罗那,84,,3-0,2-0,0,萨拉戈萨,111,
2003-2004,19,2004-01-12 04:00,0,马德里竞技,109,,3-0,0-0,0,毕尔巴鄂竞技,92,
2003-2004,20,2004-01-18 02:30,0,穆尔西亚,117,,2-2,0-2,0,塞尔塔,114,
2003-2004,20,2004-01-18 02:30,0,瓦拉多利德,123,,0-0,0-0,0,巴伦西亚,91,
2003-2004,20,2004-01-18 04:30,0,巴塞罗那,84,,1-1,0-0,0,毕尔巴鄂竞技,92,
2003-2004,20,2004-01-18 23:59,0,奥萨苏纳,94,,1-1,1-1,0,阿尔巴切特,110,
2003-2004,20,2004-01-18 23:59,0,拉科鲁尼亚,93,,4-1,1-1,0,萨拉戈萨,111,
2003-2004,20,2004-01-18 23:59,0,马洛卡,101,,1-1,1-1,0,桑坦德竞技,104,
2003-2004,20,2004-01-18 23:59,0,皇家社会,106,,3-1,1-0,0,西班牙人,100,
2003-2004,20,2004-01-18 23:59,0,比利亚雷亚尔,107,,2-0,0-0,0,马拉加,102,
2003-2004,20,2004-01-19 02:00,0,马德里竞技,109,,2-1,1-0,0,塞维利亚,86,
2003-2004,20,2004-01-19 04:00,0,皇家贝蒂斯,96,,1-1,1-0,0,皇家马德里,82,
2003-2004,21,2004-01-25 02:30,0,皇家马德里,82,,2-1,1-0,0,比利亚雷亚尔,107,
2003-2004,21,2004-01-25 04:30,0,阿尔巴切特,110,,1-1,0-1,0,马德里竞技,109,
2003-2004,21,2004-01-25 23:59,0,巴伦西亚,91,,0-1,0-1,0,奥萨苏纳,94,
2003-2004,21,2004-01-25 23:59,0,萨拉戈萨,111,,1-3,0-2,0,马洛卡,101,
2003-2004,21,2004-01-25 23:59,0,桑坦德竞技,104,,3-2,1-1,0,穆尔西亚,117,
2003-2004,21,2004-01-25 23:59,0,塞尔塔,114,,2-5,1-2,0,皇家社会,106,
2003-2004,21,2004-01-25 23:59,0,西班牙人,100,,1-2,0-2,0,皇家贝蒂斯,96,
2003-2004,21,2004-01-25 23:59,0,马拉加,102,,2-3,1-1,0,瓦拉多利德,123,
2003-2004,21,2004-01-26 02:00,0,塞维利亚,86,,0-1,0-1,0,巴塞罗那,84,
2003-2004,21,2004-01-26 04:00,0,毕尔巴鄂竞技,92,,1-0,0-0,0,拉科鲁尼亚,93,
2003-2004,22,2004-02-01 02:30,0,马德里竞技,109,,1-1,0-1,0,奥萨苏纳,94,
2003-2004,22,2004-02-01 02:30,0,马拉加,102,,1-6,0-2,0,巴伦西亚,91,
2003-2004,22,2004-02-01 04:30,0,皇家贝蒂斯,96,,1-0,1-0,0,塞尔塔,114,
2003-2004,22,2004-02-01 23:59,0,皇家社会,106,,1-0,0-0,0,桑坦德竞技,104,
2003-2004,22,2004-02-01 23:59,0,穆尔西亚,117,,1-0,1-0,0,萨拉戈萨,111,
2003-2004,22,2004-02-01 23:59,0,比利亚雷亚尔,107,,0-1,0-0,0,西班牙人,100,
2003-2004,22,2004-02-01 23:59,0,瓦拉多利德,123,,2-3,2-0,0,皇家马德里,82,
2003-2004,22,2004-02-01 23:59,0,马洛卡,101,,1-3,1-1,0,毕尔巴鄂竞技,92,
2003-2004,22,2004-02-02 02:00,0,巴塞罗那,84,,5-0,1-0,0,阿尔巴切特,110,
2003-2004,22,2004-02-02 04:00,0,拉科鲁尼亚,93,,1-0,1-0,0,塞维利亚,86,
2003-2004,23,2004-02-08 02:30,0,巴伦西亚,91,,3-0,1-0,0,马德里竞技,109,
2003-2004,23,2004-02-08 04:30,0,皇家马德里,82,,2-1,1-0,0,马拉加,102,
2003-2004,23,2004-02-08 23:59,0,塞尔塔,114,,2-1,1-0,0,比利亚雷亚尔,107,
2003-2004,23,2004-02-08 23:59,0,西班牙人,100,,2-0,0-0,0,瓦拉多利德,123,
2003-2004,23,2004-02-08 23:59,0,阿尔巴切特,110,,0-2,0-0,0,拉科鲁尼亚,93,
2003-2004,23,2004-02-08 23:59,0,塞维利亚,86,,3-0,0-0,0,马洛卡,101,
2003-2004,23,2004-02-08 23:59,0,桑坦德竞技,104,,1-2,1-1,0,皇家贝蒂斯,96,
