轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,主队红牌,主队名称,主队名次,全场让球,半场让球,全场大小,半场大小
11,2013-10-31 05:00,0,皇家马德里,3,7-3,3-2,1,塞维利亚,10,半/一,半/一,3.5,1.5
11,2013-11-01 03:00,1,比利亚雷亚尔,4,0-2,0-1,0,赫塔菲,6,平/半,平/半,2.5,1
11,2013-11-01 03:00,0,格拉那达,13,1-2,0-1,1,马德里竞技,2,平/半,平/半,2.5,1
11,2013-11-01 05:00,1,皇家贝蒂斯,18,0-0,0-0,0,莱万特,7,平/半,平/半,2/2.5,1
11,2013-11-01 05:00,0,毕尔巴鄂竞技,5,2-2,0-1,0,艾尔切,12,平/半,平/半,2.5/3,1
12,2013-11-02 04:00,0,巴塞罗那,1,1-0,0-0,0,西班牙人,8,一球,一球,3.5/4,1.5
12,2013-11-02 23:00,0,皇家社会,9,5-0,1-0,1,奥萨苏纳,16,平/半,平/半,2.5,1
12,2013-11-03 01:00,0,阿尔梅里亚,20,1-0,1-0,1,瓦拉多利德,13,平/半,平/半,2.5,1
12,2013-11-03 03:00,0,巴列卡诺,19,2-3,0-2,0,皇家马德里,3,半/一,半/一,3/3.5,1.5
12,2013-11-03 05:00,0,塞维利亚,11,0-1,0-0,0,塞尔塔,17,半球,半球,3,1/1.5
12,2013-11-03 19:00,0,赫塔菲,6,0-1,0-1,0,巴伦西亚,12,平手,平手,2.5,1
12,2013-11-03 23:59,0,马德里竞技,2,2-0,2-0,1,毕尔巴鄂竞技,5,半/一,半/一,3,1/1.5
12,2013-11-04 02:00,0,莱万特,8,0-1,0-0,0,格拉那达,15,平/半,平/半,2/2.5,0.5/1
12,2013-11-04 04:00,0,马拉加,16,3-2,1-1,0,皇家贝蒂斯,18,平/半,平/半,2.5,1
12,2013-11-05 05:00,0,艾尔切,13,0-1,0-0,0,比利亚雷亚尔,4,平手,平手,2.5,1
13,2013-11-09 03:00,0,奥萨苏纳,17,0-1,0-1,0,阿尔梅里亚,19,平/半,平/半,2.5,1
13,2013-11-09 05:00,0,格拉那达,11,3-1,0-0,0,马拉加,12,平手,平手,2/2.5,0.5/1
13,2013-11-09 23:00,0,皇家马德里,3,5-1,4-0,0,皇家社会,7,一球,一球,3.5/4,1.5
13,2013-11-10 01:00,0,赫塔菲,6,1-1,1-0,0,艾尔切,13,平/半,平/半,2.5,1
13,2013-11-10 03:00,1,毕尔巴鄂竞技,5,2-1,0-1,0,莱万特,9,平/半,平/半,2.5,1
13,2013-11-10 05:00,0,塞尔塔,15,0-2,0-1,0,巴列卡诺,20,平/半,平/半,2/2.5,1
13,2013-11-10 19:00,1,西班牙人,11,1-3,1-2,0,塞维利亚,14,平手,平手,2.5,1
13,2013-11-10 23:59,0,巴伦西亚,10,2-2,1-1,0,瓦拉多利德,18,平/半,平/半,2.5/3,1
13,2013-11-11 02:00,0,比利亚雷亚尔,4,1-1,0-1,0,马德里竞技,2,平手,平手,2.5/3,1
13,2013-11-11 04:00,0,皇家贝蒂斯,20,1-4,0-2,0,巴塞罗那,1,半/一,半/一,3/3.5,1/1.5
14,2013-11-23 04:00,0,瓦拉多利德,15,0-1,0-0,0,奥萨苏纳,19,平/半,平/半,2/2.5,0.5/1
14,2013-11-23 23:00,0,巴塞罗那,1,4-0,2-0,1,格拉那达,8,一球,一球,3/3.5,1.5
14,2013-11-24 01:00,0,皇家社会,7,4-3,1-2,1,塞尔塔,16,平/半,平/半,2.5,1
14,2013-11-24 03:00,0,阿尔梅里亚,17,0-5,0-1,0,皇家马德里,3,半/一,半/一,3.5,1.5
14,2013-11-24 05:00,0,马德里竞技,2,7-0,2-0,1,赫塔菲,6,半/一,半/一,3,1/1.5
14,2013-11-24 19:00,1,莱万特,9,0-3,0-1,0,比利亚雷亚尔,4,平/半,平/半,2/2.5,1
14,2013-11-24 23:59,1,巴列卡诺,19,1-4,0-1,0,西班牙人,12,平手,平手,2/2.5,1
14,2013-11-25 02:00,0,艾尔切,13,2-1,0-0,0,巴伦西亚,8,平手,平手,2/2.5,1
14,2013-11-25 04:00,0,塞维利亚,11,4-0,2-0,1,皇家贝蒂斯,20,平/半,平/半,2.5/3,1/1.5
14,2013-11-26 05:00,1,马拉加,14,1-2,1-0,0,毕尔巴鄂竞技,5,平手,平手,2.5,1
15,2013-11-30 03:00,0,赫塔菲,7,1-0,0-0,0,莱万特,13,平/半,平/半,2/2.5,0.5/1
15,2013-11-30 03:30,0,比利亚雷亚尔,4,1-1,1-0,0,马拉加,14,平/半,平/半,2.5,1
15,2013-11-30 23:00,0,艾尔切,10,0-2,0-0,0,马德里竞技,2,平/半,平/半,2.5,1
15,2013-12-01 01:00,0,塞尔塔,16,3-1,1-1,0,阿尔梅里亚,18,平/半,平/半,2/2.5,1
15,2013-12-01 03:00,0,皇家马德里,3,4-0,2-0,0,瓦拉多利德,17,一/球半,一/球半,3.5/4,1.5
15,2013-12-01 05:00,0,西班牙人,9,1-2,1-0,0,皇家社会,7,平手,平手,2.5,1
15,2013-12-01 19:00,0,皇家贝蒂斯,20,2-2,1-0,0,巴列卡诺,19,平/半,平/半,2.5,1
15,2013-12-01 23:59,0,格拉那达,12,1-2,0-1,0,塞维利亚,8,平手,平手,2.5,1
15,2013-12-02 02:00,0,巴伦西亚,10,3-0,1-0,1,奥萨苏纳,16,半球,半球,2.5,1
15,2013-12-02 04:00,0,毕尔巴鄂竞技,5,1-0,0-0,0,巴塞罗那,1,平/半,平/半,3/3.5,1/1.5
16,2013-12-14 04:00,0,莱万特,13,2-1,1-1,0,艾尔切,11,平/半,平/半,2/2.5,0.5/1
16,2013-12-14 23:00,1,奥萨苏纳,16,2-2,2-1,1,皇家马德里,3,半/一,半/一,3.5,1.5
16,2013-12-15 01:00,1,巴列卡诺,17,0-2,0-1,0,格拉那达,13,平/半,平/半,2/2.5,1
16,2013-12-15 03:00,0,巴塞罗那,1,2-1,1-0,0,比利亚雷亚尔,5,半/一,半/一,3/3.5,1/1.5
16,2013-12-15 05:00,0,马拉加,15,1-0,0-0,0,赫塔菲,7,平/半,平/半,2.5,1
16,2013-12-15 19:00,0,阿尔梅里亚,19,0-0,0-0,0,西班牙人,12,平手,平手,2.5,1
16,2013-12-15 23:59,0,皇家社会,6,5-1,1-1,0,皇家贝蒂斯,20,平/半,平/半,2.5,1
16,2013-12-16 02:00,0,塞维利亚,8,1-1,1-1,0,毕尔巴鄂竞技,4,平/半,平/半,2.5/3,1
16,2013-12-16 04:00,0,马德里竞技,2,3-0,0-0,0,巴伦西亚,9,半球,半球,2.5/3,1
16,2013-12-17 05:00,0,瓦拉多利德,19,3-0,0-0,1,塞尔塔,15,平/半,平/半,2/2.5,1
17,2013-12-21 03:30,1,艾尔切,14,0-1,0-1,0,马拉加,13,平手,平手,2/2.5,0.5/1
17,2013-12-21 23:00,0,比利亚雷亚尔,5,1-2,0-1,1,塞维利亚,7,平/半,平/半,2.5,1
17,2013-12-22 01:00,0,皇家贝蒂斯,20,0-1,0-1,0,阿尔梅里亚,18,平/半,平/半,2.5,1
17,2013-12-22 03:00,0,马德里竞技,2,3-2,1-1,1,莱万特,12,半/一,半/一,3,1/1.5
17,2013-12-22 05:00,0,格拉那达,11,1-3,1-2,0,皇家社会,6,平手,平手,2.5,1
17,2013-12-22 19:00,0,西班牙人,13,4-2,2-0,0,瓦拉多利德,17,平/半,平/半,2/2.5,0.5/1
17,2013-12-22 23:59,0,赫塔菲,8,2-5,2-3,0,巴塞罗那,2,半球,半球,3,1/1.5
17,2013-12-23 02:00,0,毕尔巴鄂竞技,4,2-1,1-0,0,巴列卡诺,19,平/半,平/半,2.5,1
17,2013-12-23 04:00,0,巴伦西亚,10,2-3,1-2,0,皇家马德里,3,半球,半球,3/3.5,1/1.5
17,2013-12-23 04:00,0,塞尔塔,16,1-1,1-1,0,奥萨苏纳,18,平/半,平/半,2.5,1
18,2014-01-04 23:00,0,马拉加,10,0-1,0-0,0,马德里竞技,2,半球,半球,2.5,1
18,2014-01-05 01:00,0,瓦拉多利德,17,0-0,0-0,0,皇家贝蒂斯,20,平手,平手,2.5,1
18,2014-01-05 03:00,0,巴伦西亚,11,2-0,1-0,0,莱万特,13,半球,半球,2.5,1
18,2014-01-05 05:00,0,阿尔梅里亚,16,3-0,2-0,0,格拉那达,12,平手,平手,2/2.5,1
18,2014-01-05 19:00,0,塞维利亚,7,3-0,1-0,0,赫塔菲,9,半球,半球,2.5/3,1/1.5
18,2014-01-05 23:00,0,巴塞罗那,2,4-0,2-0,0,艾尔切,15,一/球半,一/球半,3.5/4,1.5
18,2014-01-06 01:00,0,奥萨苏纳,18,1-0,1-0,0,西班牙人,10,平手,平手,2/2.5,1
18,2014-01-06 03:00,0,皇家社会,5,2-0,1-0,0,毕尔巴鄂竞技,4,平/半,平/半,2.5/3,1
18,2014-01-07 02:00,0,皇家马德里,3,3-0,0-0,0,塞尔塔,17,一/球半,一/球半,4,1.5/2
18,2014-01-07 05:00,0,巴列卡诺,19,2-5,0-3,0,比利亚雷亚尔,7,平/半,平/半,2.5,1
19,2014-01-11 04:00,0,格拉那达,13,4-0,2-0,0,瓦拉多利德,17,平/半,平/半,2/2.5,0.5/1
19,2014-01-11 23:00,0,毕尔巴鄂竞技,4,6-1,3-1,0,阿尔梅里亚,14,半球,半球,2.5/3,1
19,2014-01-12 01:00,0,塞尔塔,17,2-1,0-1,0,巴伦西亚,8,平手,平手,2.5,1
19,2014-01-12 03:00,0,马德里竞技,2,0-0,0-0,0,巴塞罗那,1,平/半,平/半,3,1/1.5
19,2014-01-12 05:00,0,艾尔切,16,1-1,0-0,0,塞维利亚,7,平手,平手,2.5,1
19,2014-01-12 19:00,0,赫塔菲,10,0-1,0-1,0,巴列卡诺,19,平/半,平/半,2.5,1
19,2014-01-12 23:59,1,皇家贝蒂斯,20,1-2,0-1,1,奥萨苏纳,17,平/半,平/半,2.5,1
19,2014-01-13 02:00,0,西班牙人,11,0-1,0-0,0,皇家马德里,3,半球,半球,3.5,1.5
19,2014-01-13 04:00,0,莱万特,13,1-0,1-0,0,马拉加,12,平手,平手,2/2.5,0.5/1
19,2014-01-14 05:00,0,比利亚雷亚尔,6,5-1,3-0,0,皇家社会,5,平/半,平/半,2.5,1
20,2014-01-18 04:00,0,马拉加,14,0-0,0-0,0,巴伦西亚,8,平手,平手,2.5,1
20,2014-01-18 23:00,0,皇家贝蒂斯,20,0-5,0-3,0,皇家马德里,3,半/一,半/一,3.5,1.5
20,2014-01-19 01:00,0,艾尔切,17,2-0,1-0,1,巴列卡诺,19,平/半,平/半,2/2.5,1
20,2014-01-19 03:00,0,格拉那达,9,0-0,0-0,0,奥萨苏纳,13,平/半,平/半,2/2.5,0.5/1
20,2014-01-19 05:00,0,西班牙人,12,1-0,0-0,0,塞尔塔,15,平/半,平/半,2.5,1
20,2014-01-19 19:00,1,赫塔菲,12,2-2,1-2,0,皇家社会,6,平手,平手,2.5,1
20,2014-01-19 23:59,0,比利亚雷亚尔,5,2-0,1-0,0,阿尔梅里亚,17,半球,半球,2.5,1
20,2014-01-20 02:00,0,莱万特,11,1-1,1-1,0,巴塞罗那,1,半/一,半/一,3.5,1.5
20,2014-01-20 04:00,0,马德里竞技,3,1-1,1-0,1,塞维利亚,7,半/一,半/一,3,1/1.5
20,2014-01-21 05:00,0,毕尔巴鄂竞技,4,4-2,0-1,0,瓦拉多利德,18,半球,半球,2.5/3,1
21,2014-01-25 04:00,0,塞尔塔,16,4-2,3-1,1,皇家贝蒂斯,20,平/半,平/半,2.5,1
21,2014-01-25 23:00,0,皇家马德里,3,2-0,0-0,0,格拉那达,10,一/球半,一/球半,3.5/4,1.5/2
21,2014-01-26 01:00,0,瓦拉多利德,18,1-0,1-0,0,比利亚雷亚尔,5,平/半,平/半,2.5,1
21,2014-01-26 03:00,0,巴伦西亚,9,2-2,2-2,0,西班牙人,8,平/半,平/半,2.5/3,1
21,2014-01-26 05:00,1,塞维利亚,7,2-3,1-1,1,莱万特,11,半球,半球,2.5/3,1
21,2014-01-26 19:00,0,阿尔梅里亚,18,1-0,0-0,0,赫塔菲,12,平手,平手,2.5,1
21,2014-01-26 23:59,1,奥萨苏纳,14,1-5,1-2,0,毕尔巴鄂竞技,4,平手,平手,2.5,1
21,2014-01-27 02:00,0,巴列卡诺,19,2-4,1-3,0,马德里竞技,3,半球,半球,2.5/3,1
21,2014-01-27 04:00,0,巴塞罗那,2,3-0,1-0,0,马拉加,15,一/球半,一/球半,3.5/4,1.5/2
21,2014-01-28 05:00,0,皇家社会,6,4-0,2-0,0,艾尔切,17,半球,半球,2.5/3,1
22,2014-02-01 04:00,0,格拉那达,11,1-2,1-1,0,塞尔塔,13,平/半,平/半,2/2.5,1
22,2014-02-01 23:00,1,巴塞罗那,1,2-3,1-1,0,巴伦西亚,10,一球,一球,3.5,1.5
