赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2015-2016,1,巴塞罗那,1,38,29,4,5,112,29,83,0.763,0.105,0.132,2.95,0.76,91
2015-2016,2,皇家马德里,5,38,28,6,4,110,34,76,0.737,0.158,0.105,2.89,0.89,90
2015-2016,3,马德里竞技,3,38,28,4,6,63,18,45,0.737,0.105,0.158,1.66,0.47,88
2015-2016,4,比利亚雷亚尔,4,38,18,10,10,44,35,9,0.474,0.263,0.263,1.16,0.92,64
2015-2016,5,毕尔巴鄂竞技,6,38,18,8,12,58,45,13,0.474,0.211,0.316,1.53,1.18,62
2015-2016,6,塞尔塔,7,38,17,9,12,51,59,-8,0.447,0.237,0.316,1.34,1.55,60
2015-2016,7,塞维利亚,8,38,14,10,14,51,50,1,0.368,0.263,0.368,1.34,1.32,52
2015-2016,8,马拉加,5,38,12,12,14,38,35,3,0.316,0.316,0.368,1.0,0.92,48
2015-2016,9,皇家社会,4,38,13,9,16,45,48,-3,0.342,0.237,0.421,1.18,1.26,48
2015-2016,10,皇家贝蒂斯,5,38,11,12,15,34,52,-18,0.289,0.316,0.395,0.89,1.37,45
2015-2016,11,拉斯帕尔马斯,4,38,12,8,18,45,53,-8,0.316,0.211,0.474,1.18,1.39,44
2015-2016,12,巴伦西亚,7,38,11,11,16,46,48,-2,0.289,0.289,0.421,1.21,1.26,44
2015-2016,13,西班牙人,5,38,12,7,19,40,74,-34,0.316,0.184,0.5,1.05,1.95,43
2015-2016,14,埃瓦尔,4,38,11,10,17,49,61,-12,0.289,0.263,0.447,1.29,1.61,43
2015-2016,15,拉科鲁尼亚,4,38,8,18,12,45,61,-16,0.211,0.474,0.316,1.18,1.61,42
2015-2016,16,格拉那达,7,38,10,9,19,46,69,-23,0.263,0.237,0.5,1.21,1.82,39
2015-2016,17,希洪竞技,6,38,10,9,19,40,62,-22,0.263,0.237,0.5,1.05,1.63,39
2015-2016,18,巴列卡诺,10,38,9,11,18,52,73,-21,0.237,0.289,0.474,1.37,1.92,38
2015-2016,19,赫塔菲,6,38,9,9,20,37,67,-30,0.237,0.237,0.526,0.97,1.76,36
2015-2016,20,莱万特,7,38,8,8,22,37,70,-33,0.211,0.211,0.579,0.97,1.84,32
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2017-2018,1,巴塞罗那,2,38,28,9,1,99,29,70,0.737,0.237,0.026,2.61,0.76,93
2017-2018,2,马德里竞技,5,38,23,10,5,58,22,36,0.605,0.263,0.132,1.53,0.58,79
2017-2018,3,皇家马德里,4,38,22,10,6,94,44,50,0.579,0.263,0.158,2.47,1.16,76
2017-2018,4,巴伦西亚,5,38,22,7,9,65,38,27,0.579,0.184,0.237,1.71,1.0,73
2017-2018,5,比利亚雷亚尔,6,38,18,7,13,57,50,7,0.474,0.184,0.342,1.5,1.32,61
2017-2018,6,皇家贝蒂斯,3,38,18,6,14,60,61,-1,0.474,0.158,0.368,1.58,1.61,60
2017-2018,7,塞维利亚,3,38,17,7,14,49,58,-9,0.447,0.184,0.368,1.29,1.53,58
2017-2018,8,赫塔菲,5,38,15,10,13,42,33,9,0.395,0.263,0.342,1.11,0.87,55
2017-2018,9,埃瓦尔,3,38,14,9,15,44,50,-6,0.368,0.237,0.395,1.16,1.32,51
2017-2018,10,赫罗纳,0,38,14,9,15,50,59,-9,0.368,0.237,0.395,1.32,1.55,51
2017-2018,11,皇家社会,5,38,14,7,17,66,59,7,0.368,0.184,0.447,1.74,1.55,49
2017-2018,12,塞尔塔,1,38,13,10,15,59,60,-1,0.342,0.263,0.395,1.55,1.58,49
2017-2018,13,西班牙人,1,38,12,13,13,36,42,-6,0.316,0.342,0.342,0.95,1.11,49
2017-2018,14,阿拉维斯,4,38,15,2,21,40,50,-10,0.395,0.053,0.553,1.05,1.32,47
2017-2018,15,莱万特,3,38,11,13,14,44,58,-14,0.289,0.342,0.368,1.16,1.53,46
2017-2018,16,毕尔巴鄂竞技,0,38,10,13,15,41,49,-8,0.263,0.342,0.395,1.08,1.29,43
2017-2018,17,雷加利斯,5,38,12,7,19,34,51,-17,0.316,0.184,0.5,0.89,1.34,43
2017-2018,18,拉科鲁尼亚,2,38,6,11,21,38,76,-38,0.158,0.289,0.553,1.0,2.0,29
2017-2018,19,拉斯帕尔马斯,3,38,5,7,26,24,74,-50,0.132,0.184,0.684,0.63,1.95,22
2017-2018,20,马拉加,8,38,5,5,28,24,61,-37,0.132,0.132,0.737,0.63,1.61,20
赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2004-2005,1,巴塞罗那,0,38,25,9,4,73,29,44,0.658,0.237,0.105,1.92,0.76,84
2004-2005,2,皇家马德里,0,38,25,5,8,71,32,39,0.658,0.132,0.211,1.87,0.84,80
2004-2005,3,比利亚雷亚尔,0,38,18,11,9,69,37,32,0.474,0.289,0.237,1.82,0.97,65
2004-2005,4,皇家贝蒂斯,0,38,16,14,8,62,50,12,0.421,0.368,0.211,1.63,1.32,62
