,轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,全场让球,半场让球,全场大小,半场大小,客队红牌,客队名称,客队名次,主队得分,客队得分,主队半场得分,客队半场得分,主队结果,比赛日期
136,14,2013-11-24 23:59,1,巴列卡诺,19,1-4,0-1,平手,平手,2/2.5,1,0,西班牙人,12,1,4,0,1,1,20131124
137,14,2013-11-25 02:00,0,艾尔切,13,2-1,0-0,平手,平手,2/2.5,1,0,巴伦西亚,8,2,1,0,0,2,20131125
138,14,2013-11-25 04:00,0,塞维利亚,11,4-0,2-0,平/半,平/半,2.5/3,1/1.5,1,皇家贝蒂斯,20,4,0,2,0,2,20131125
139,14,2013-11-26 05:00,1,马拉加,14,1-2,1-0,平手,平手,2.5,1,0,毕尔巴鄂竞技,5,1,2,1,0,1,20131126
140,15,2013-11-30 03:00,0,赫塔菲,7,1-0,0-0,平/半,平/半,2/2.5,0.5/1,0,莱万特,13,1,0,0,0,2,20131130
141,15,2013-11-30 03:30,0,比利亚雷亚尔,4,1-1,1-0,平/半,平/半,2.5,1,0,马拉加,14,1,1,1,0,0,20131130
142,15,2013-11-30 23:00,0,艾尔切,10,0-2,0-0,平/半,平/半,2.5,1,0,马德里竞技,2,0,2,0,0,1,20131130
143,15,2013-12-01 01:00,0,塞尔塔,16,3-1,1-1,平/半,平/半,2/2.5,1,0,阿尔梅里亚,18,3,1,1,1,2,20131201
144,15,2013-12-01 03:00,0,皇家马德里,3,4-0,2-0,一/球半,一/球半,3.5/4,1.5,0,瓦拉多利德,17,4,0,2,0,2,20131201
145,15,2013-12-01 05:00,0,西班牙人,9,1-2,1-0,平手,平手,2.5,1,0,皇家社会,7,1,2,1,0,1,20131201
146,15,2013-12-01 19:00,0,皇家贝蒂斯,20,2-2,1-0,平/半,平/半,2.5,1,0,巴列卡诺,19,2,2,1,0,0,20131201
147,15,2013-12-01 23:59,0,格拉那达,12,1-2,0-1,平手,平手,2.5,1,0,塞维利亚,8,1,2,0,1,1,20131201
148,15,2013-12-02 02:00,0,巴伦西亚,10,3-0,1-0,半球,半球,2.5,1,1,奥萨苏纳,16,3,0,1,0,2,20131202
149,15,2013-12-02 04:00,0,毕尔巴鄂竞技,5,1-0,0-0,平/半,平/半,3/3.5,1/1.5,0,巴塞罗那,1,1,0,0,0,2,20131202
150,16,2013-12-14 04:00,0,莱万特,13,2-1,1-1,平/半,平/半,2/2.5,0.5/1,0,艾尔切,11,2,1,1,1,2,20131214
151,16,2013-12-14 23:00,1,奥萨苏纳,16,2-2,2-1,半/一,半/一,3.5,1.5,1,皇家马德里,3,2,2,2,1,0,20131214
152,16,2013-12-15 01:00,1,巴列卡诺,17,0-2,0-1,平/半,平/半,2/2.5,1,0,格拉那达,13,0,2,0,1,1,20131215
153,16,2013-12-15 03:00,0,巴塞罗那,1,2-1,1-0,半/一,半/一,3/3.5,1/1.5,0,比利亚雷亚尔,5,2,1,1,0,2,20131215
154,16,2013-12-15 05:00,0,马拉加,15,1-0,0-0,平/半,平/半,2.5,1,0,赫塔菲,7,1,0,0,0,2,20131215
155,16,2013-12-15 19:00,0,阿尔梅里亚,19,0-0,0-0,平手,平手,2.5,1,0,西班牙人,12,0,0,0,0,0,20131215
156,16,2013-12-15 23:59,0,皇家社会,6,5-1,1-1,平/半,平/半,2.5,1,0,皇家贝蒂斯,20,5,1,1,1,2,20131215
157,16,2013-12-16 02:00,0,塞维利亚,8,1-1,1-1,平/半,平/半,2.5/3,1,0,毕尔巴鄂竞技,4,1,1,1,1,0,20131216
158,16,2013-12-16 04:00,0,马德里竞技,2,3-0,0-0,半球,半球,2.5/3,1,0,巴伦西亚,9,3,0,0,0,2,20131216
159,16,2013-12-17 05:00,0,瓦拉多利德,19,3-0,0-0,平/半,平/半,2/2.5,1,1,塞尔塔,15,3,0,0,0,2,20131217
160,17,2013-12-21 03:30,1,艾尔切,14,0-1,0-1,平手,平手,2/2.5,0.5/1,0,马拉加,13,0,1,0,1,1,20131221
161,17,2013-12-21 23:00,0,比利亚雷亚尔,5,1-2,0-1,平/半,平/半,2.5,1,1,塞维利亚,7,1,2,0,1,1,20131221
162,17,2013-12-22 01:00,0,皇家贝蒂斯,20,0-1,0-1,平/半,平/半,2.5,1,0,阿尔梅里亚,18,0,1,0,1,1,20131222
163,17,2013-12-22 03:00,0,马德里竞技,2,3-2,1-1,半/一,半/一,3,1/1.5,1,莱万特,12,3,2,1,1,2,20131222
164,17,2013-12-22 05:00,0,格拉那达,11,1-3,1-2,平手,平手,2.5,1,0,皇家社会,6,1,3,1,2,1,20131222
165,17,2013-12-22 19:00,0,西班牙人,13,4-2,2-0,平/半,平/半,2/2.5,0.5/1,0,瓦拉多利德,17,4,2,2,0,2,20131222
166,17,2013-12-22 23:59,0,赫塔菲,8,2-5,2-3,半球,半球,3,1/1.5,0,巴塞罗那,2,2,5,2,3,1,20131222
167,17,2013-12-23 02:00,0,毕尔巴鄂竞技,4,2-1,1-0,平/半,平/半,2.5,1,0,巴列卡诺,19,2,1,1,0,2,20131223
168,17,2013-12-23 04:00,0,巴伦西亚,10,2-3,1-2,半球,半球,3/3.5,1/1.5,0,皇家马德里,3,2,3,1,2,1,20131223
169,17,2013-12-23 04:00,0,塞尔塔,16,1-1,1-1,平/半,平/半,2.5,1,0,奥萨苏纳,18,1,1,1,1,0,20131223
170,18,2014-01-04 23:00,0,马拉加,10,0-1,0-0,半球,半球,2.5,1,0,马德里竞技,2,0,1,0,0,1,20140104
171,18,2014-01-05 01:00,0,瓦拉多利德,17,0-0,0-0,平手,平手,2.5,1,0,皇家贝蒂斯,20,0,0,0,0,0,20140105
172,18,2014-01-05 03:00,0,巴伦西亚,11,2-0,1-0,半球,半球,2.5,1,0,莱万特,13,2,0,1,0,2,20140105
173,18,2014-01-05 05:00,0,阿尔梅里亚,16,3-0,2-0,平手,平手,2/2.5,1,0,格拉那达,12,3,0,2,0,2,20140105
174,18,2014-01-05 19:00,0,塞维利亚,7,3-0,1-0,半球,半球,2.5/3,1/1.5,0,赫塔菲,9,3,0,1,0,2,20140105
175,18,2014-01-05 23:00,0,巴塞罗那,2,4-0,2-0,一/球半,一/球半,3.5/4,1.5,0,艾尔切,15,4,0,2,0,2,20140105
176,18,2014-01-06 01:00,0,奥萨苏纳,18,1-0,1-0,平手,平手,2/2.5,1,0,西班牙人,10,1,0,1,0,2,20140106
177,18,2014-01-06 03:00,0,皇家社会,5,2-0,1-0,平/半,平/半,2.5/3,1,0,毕尔巴鄂竞技,4,2,0,1,0,2,20140106
